Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,BOVA11.SA,BRL=X,BZ=F,CL=F,EURBRL=X,GC=F,IVVB11.SA,SMAL11.SA,ZC=F,ZS=F,^BVSP,^DJI,^GSPC,^IXIC,BOVA11.SA,BRL=X,BZ=F,CL=F,EURBRL=X,GC=F,IVVB11.SA,SMAL11.SA,ZC=F,ZS=F,^BVSP,^DJI,^GSPC,^IXIC,BOVA11.SA,BRL=X,BZ=F,CL=F,EURBRL=X,GC=F,IVVB11.SA,SMAL11.SA,ZC=F,ZS=F,^BVSP,^DJI,^GSPC,^IXIC,BOVA11.SA,BRL=X,BZ=F,CL=F,EURBRL=X,GC=F,IVVB11.SA,SMAL11.SA,ZC=F,ZS=F,^BVSP,^DJI,^GSPC,^IXIC,BOVA11.SA,BRL=X,BZ=F,CL=F,EURBRL=X,GC=F,IVVB11.SA,SMAL11.SA,ZC=F,ZS=F,^BVSP,^DJI,^GSPC,^IXIC,BOVA11.SA,BRL=X,BZ=F,CL=F,EURBRL=X,GC=F,IVVB11.SA,SMAL11.SA,ZC=F,ZS=F,^BVSP,^DJI,^GSPC,^IXIC
data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-06,113.47000122070312,5.195199966430664,94.41999816894531,88.44999694824219,5.145299911499023,1711.699951171875,214.75,112.2699966430664,675.5,1358.0,117561.0,29926.939453125,3744.52001953125,11073.3095703125,113.47000122070312,5.195199966430664,94.41999816894531,88.44999694824219,5.145299911499023,1711.699951171875,214.75,112.2699966430664,675.5,1358.0,117561.0,29926.939453125,3744.52001953125,11073.3095703125,114.47000122070312,5.2170000076293945,95.01000213623047,89.06999969482422,5.154099941253662,1723.300048828125,216.38999938964844,112.41999816894531,685.75,1376.75,118382.0,30329.609375,3797.929931640625,11230.4404296875,113.01000213623047,5.172574996948242,92.7300033569336,87.04000091552734,5.087100028991699,1709.0999755859375,213.60000610351562,110.58999633789062,672.0,1350.0,117144.0,29859.33984375,3739.219970703125,11051.26953125,113.58999633789062,5.195199966430664,93.83000183105469,88.08000183105469,5.145299911499023,1721.0,215.2100067138672,110.58999633789062,683.75,1369.5,117200.0,30206.130859375,3771.969970703125,11129.0400390625,8513848.0,0.0,26200.0,235296.0,0.0,133.0,611597.0,1525245.0,128778.0,110344.0,14520500.0,306840000.0,4252100000.0,4423320000.0
2022-10-07,112.77999877929688,5.220099925994873,97.91999816894531,92.63999938964844,5.1072998046875,1700.5,208.6999969482422,110.69999694824219,683.25,1367.0,116375.0,29296.7890625,3639.659912109375,10652.400390625,112.77999877929688,5.220099925994873,97.91999816894531,92.63999938964844,5.1072998046875,1700.5,208.6999969482422,110.69999694824219,683.25,1367.0,116375.0,29296.7890625,3639.659912109375,10652.400390625,113.88999938964844,5.248899936676025,98.58999633789062,93.30999755859375,5.122499942779541,1710.0999755859375,212.97000122070312,112.51000213623047,684.5,1373.5,117960.0,29685.26953125,3706.739990234375,10891.9296875,111.95999908447266,5.194699764251709,93.93000030517578,88.0,5.076099872589111,1693.699951171875,207.63999938964844,110.4000015258789,671.5,1350.75,115924.0,29142.66015625,3620.72998046875,10608.51953125,112.97000122070312,5.220099925994873,94.98999786376953,88.93000030517578,5.110499858856201,1710.0999755859375,212.97000122070312,112.0,675.5,1358.0,117560.0,29685.26953125,3706.739990234375,10877.2802734375,9139957.0,0.0,36871.0,429162.0,0.0,179.0,719706.0,1867386.0,113581.0,140543.0,13616500.0,367950000.0,4449660000.0,4634190000.0
2022-10-10,112.08000183105469,5.198400020599365,96.19000244140625,91.12999725341797,5.091000080108643,1667.300048828125,206.3000030517578,111.19999694824219,698.25,1374.0,115941.0,29202.880859375,3612.389892578125,10542.099609375,112.08000183105469,5.198400020599365,96.19000244140625,91.12999725341797,5.091000080108643,1667.300048828125,206.3000030517578,111.19999694824219,698.25,1374.0,115941.0,29202.880859375,3612.389892578125,10542.099609375,113.05000305175781,5.213900089263916,98.76000213623047,93.63999938964844,5.091000080108643,1693.4000244140625,208.55999755859375,111.55999755859375,706.5,1398.75,116841.0,29485.8203125,3652.169921875,10669.9296875,111.27999877929688,5.162300109863281,95.62000274658203,90.54000091552734,5.009500026702881,1667.0,205.0399932861328,109.94000244140625,683.5,1366.5,115261.0,29010.41015625,3588.10009765625,10449.0400390625,112.88999938964844,5.198400020599365,98.69999694824219,93.4800033569336,5.091000080108643,1693.4000244140625,208.10000610351562,111.25,683.75,1367.0,116377.0,29419.08984375,3647.510009765625,10659.9501953125,5757538.0,0.0,24699.0,289508.0,0.0,195.0,591138.0,665212.0,201817.0,196819.0,11429900.0,315410000.0,3834320000.0,3989640000.0
2022-10-11,110.88999938964844,5.186800003051758,94.29000091552734,89.3499984741211,5.033999919891357,1678.699951171875,208.60000610351562,109.0,693.0,1376.25,114827.0,29239.189453125,3588.840087890625,10426.1904296875,110.88999938964844,5.186800003051758,94.29000091552734,89.3499984741211,5.033999919891357,1678.699951171875,208.60000610351562,109.0,693.0,1376.25,114827.0,29239.189453125,3588.840087890625,10426.1904296875,111.87000274658203,5.224899768829346,96.44999694824219,91.3499984741211,5.081099987030029,1678.699951171875,208.8000030517578,110.91999816894531,702.0,1385.25,115928.0,29608.419921875,3640.659912109375,10608.83984375,110.29000091552734,5.159780025482178,93.11000061035156,87.91000366210938,5.015100002288818,1661.0,204.11000061035156,108.52999877929688,690.75,1365.25,114297.0,29074.23046875,3568.449951171875,10351.98046875,111.48999786376953,5.186800003051758,96.1500015258789,91.13999938964844,5.0320000648498535,1661.800048828125,205.3000030517578,110.4000015258789,697.0,1373.25,115928.0,29085.19921875,3595.860107421875,10484.3701171875,6187087.0,0.0,31431.0,333158.0,0.0,167.0,856224.0,1468069.0,140432.0,126082.0,13137900.0,352920000.0,4759030000.0,4738840000.0
2022-10-12,,5.292099952697754,92.44999694824219,87.2699966430664,5.130099773406982,1670.300048828125,,,693.0,1396.0,,29210.849609375,3577.030029296875,10417.099609375,,5.292099952697754,92.44999694824219,87.2699966430664,5.130099773406982,1670.300048828125,,,693.0,1396.0,,29210.849609375,3577.030029296875,10417.099609375,,5.294899940490723,95.16999816894531,90.06999969482422,5.148600101470947,1672.699951171875,,,700.0,1414.0,,29455.119140625,3608.340087890625,10494.5302734375,,5.287954807281494,91.58000183105469,86.27999877929688,5.114200115203857,1668.0,,,680.0,1367.5,,29136.029296875,3573.860107421875,10372.2099609375,,5.292099952697754,93.69000244140625,88.66999816894531,5.132699966430664,1668.0,,,693.25,1373.0,,29233.060546875,3590.830078125,10437.0,,0.0,29821.0,332271.0,0.0,149.0,,,180209.0,220285.0,,304420000.0,4006830000.0,4091030000.0
2022-10-13,110.26000213623047,5.291500091552734,94.56999969482422,89.11000061035156,5.135200023651123,1670.0,213.0,108.30000305175781,697.75,1395.75,114300.0,30038.720703125,3669.909912109375,10649.150390625,110.26000213623047,5.291500091552734,94.56999969482422,89.11000061035156,5.135200023651123,1670.0,213.0,108.30000305175781,697.75,1395.75,114300.0,30038.720703125,3669.909912109375,10649.150390625,111.44999694824219,5.378499984741211,94.9000015258789,89.66000366210938,5.186500072479248,1675.300048828125,213.1699981689453,109.52999877929688,699.5,1405.0,115367.0,30168.5390625,3685.409912109375,10697.7099609375,108.75,5.251726150512695,91.08999633789062,85.55999755859375,5.113100051879883,1641.5,204.75,106.0999984741211,684.0,1378.75,112690.0,28660.939453125,3491.580078125,10088.830078125,109.2699966430664,5.291500091552734,92.47000122070312,87.08000183105469,5.131999969482422,1675.199951171875,206.4199981689453,107.47000122070312,692.25,1394.5,114819.0,28755.830078125,3520.3701171875,10131.8203125,7760357.0,0.0,32826.0,298032.0,0.0,729.0,887572.0,1170654.0,167244.0,145762.0,14583700.0,470260000.0,5021680000.0,5300080000.0
2022-10-14,108.22000122070312,5.259799957275391,91.62999725341797,85.61000061035156,5.136000156402588,1641.699951171875,209.89999389648438,106.05000305175781,689.75,1383.75,112072.0,29634.830078125,3583.070068359375,10321.3896484375,108.22000122070312,5.259799957275391,91.62999725341797,85.61000061035156,5.136000156402588,1641.699951171875,209.89999389648438,106.05000305175781,689.75,1383.75,112072.0,29634.830078125,3583.070068359375,10321.3896484375,110.72000122070312,5.308599948883057,95.11000061035156,89.7300033569336,5.174600124359131,1667.0,214.85000610351562,109.23999786376953,699.5,1410.0,114712.0,30428.8203125,3712.0,10766.6904296875,107.66999816894531,5.237907886505127,91.2699966430664,85.19999694824219,5.094299793243408,1640.0,209.3000030517578,105.87999725341797,688.5,1382.75,111631.0,29614.30078125,3579.679931640625,10308.8095703125,110.36000061035156,5.259799957275391,94.75,89.2699966430664,5.134200096130371,1665.300048828125,213.7100067138672,108.80000305175781,697.0,1394.0,114301.0,30192.2109375,3690.409912109375,10742.8095703125,6057935.0,0.0,29344.0,237026.0,0.0,82.0,882670.0,928759.0,108816.0,123738.0,13096100.0,379090000.0,4243030000.0,4393000000.0
2022-10-17,109.9000015258789,5.327400207519531,91.62000274658203,85.45999908447266,5.176199913024902,1657.0,214.14999389648438,107.5,683.5,1385.25,113624.0,30185.8203125,3677.949951171875,10675.7998046875,109.9000015258789,5.327400207519531,91.62000274658203,85.45999908447266,5.176199913024902,1657.0,214.14999389648438,107.5,683.5,1385.25,113624.0,30185.8203125,3677.949951171875,10675.7998046875,110.38999938964844,5.330100059509277,93.2300033569336,87.12000274658203,5.202600002288818,1657.0,214.47999572753906,108.30000305175781,692.25,1395.0,114406.0,30311.94921875,3689.72998046875,10696.58984375,108.41000366210938,5.25318717956543,90.83999633789062,84.61000061035156,5.131700038909912,1646.800048828125,210.6999969482422,106.62999725341797,681.25,1376.25,112090.0,29997.619140625,3638.64990234375,10569.6904296875,108.7699966430664,5.327400207519531,91.70999908447266,85.58999633789062,5.176199913024902,1650.199951171875,211.02000427246094,107.01000213623047,689.0,1381.5,112107.0,30059.580078125,3638.64990234375,10575.650390625,4177222.0,0.0,23783.0,172020.0,0.0,238.0,1059763.0,647420.0,106164.0,116449.0,11633000.0,369820000.0,4352780000.0,4439190000.0
2022-10-18,111.94000244140625,5.2773590087890625,90.02999877929688,82.81999969482422,5.194900035858154,1649.0,215.5,108.4000015258789,681.0,1372.0,115743.0,30523.80078125,3719.97998046875,10772.400390625,111.94000244140625,5.2773590087890625,90.02999877929688,82.81999969482422,5.194900035858154,1649.0,215.5,108.4000015258789,681.0,1372.0,115743.0,30523.80078125,3719.97998046875,10772.400390625,111.94000244140625,5.295300006866455,92.6500015258789,86.51000213623047,5.210000038146973,1655.199951171875,217.47000122070312,109.4000015258789,683.75,1390.0,115795.0,30837.900390625,3762.7900390625,10972.9697265625,110.18000030517578,5.241399765014648,88.7699966430664,82.08999633789062,5.169000148773193,1649.0,213.22000122070312,107.2300033569336,674.5,1364.25,113627.0,30301.830078125,3686.530029296875,10670.1201171875,111.25,5.2773590087890625,92.0199966430664,85.69999694824219,5.1981000900268555,1651.4000244140625,216.9600067138672,108.69999694824219,683.0,1383.0,113627.0,30697.51953125,3746.260009765625,10963.990234375,6795170.0,0.0,40941.0,97304.0,0.0,597.0,756052.0,590289.0,147455.0,143267.0,14744200.0,387130000.0,4483740000.0,5047360000.0
2022-10-19,112.3499984741211,5.239799976348877,92.41000366210938,85.55000305175781,5.165299892425537,1627.5,214.39999389648438,108.0,678.25,1372.5,116274.0,30423.810546875,3695.159912109375,10680.509765625,112.3499984741211,5.239799976348877,92.41000366210938,85.55000305175781,5.165299892425537,1627.5,214.39999389648438,108.0,678.25,1372.5,116274.0,30423.810546875,3695.159912109375,10680.509765625,112.44000244140625,5.295100212097168,92.83999633789062,86.19999694824219,5.17549991607666,1637.5,215.47999572753906,109.19000244140625,684.5,1378.5,116459.0,30662.109375,3728.580078125,10808.0400390625,111.2699966430664,5.233439922332764,89.37999725341797,82.58999633789062,5.101399898529053,1627.5,212.83999633789062,107.56999969482422,674.0,1357.0,115264.0,30226.900390625,3666.510009765625,10592.8798828125,111.7300033569336,5.239799976348877,90.79000091552734,83.69000244140625,5.165900230407715,1637.5,214.42999267578125,109.0,681.0,1371.75,115744.0,30439.0390625,3703.110107421875,10689.3095703125,3824571.0,0.0,43364.0,71309.0,0.0,84.0,947688.0,570738.0,112233.0,105181.0,12729900.0,314030000.0,4223800000.0,4955090000.0
2022-10-20,112.9000015258789,5.269199848175049,92.37999725341797,85.9800033569336,5.142899990081787,1630.800048828125,210.0,107.19999694824219,684.0,1391.5,117171.0,30333.58984375,3665.780029296875,10614.83984375,112.9000015258789,5.269199848175049,92.37999725341797,85.9800033569336,5.142899990081787,1630.800048828125,210.0,107.19999694824219,684.0,1391.5,117171.0,30333.58984375,3665.780029296875,10614.83984375,113.33000183105469,5.272799968719482,94.7699966430664,88.16999816894531,5.176700115203857,1641.4000244140625,213.64999389648438,109.37999725341797,687.0,1396.5,117367.0,30822.9609375,3736.0,10837.2998046875,112.4000015258789,5.19320011138916,91.91999816894531,85.22000122070312,5.101399898529053,1622.800048828125,209.13999938964844,106.87000274658203,676.75,1370.25,116276.0,30265.19921875,3656.43994140625,10574.5498046875,113.19000244140625,5.269199848175049,92.51000213623047,85.94000244140625,5.144800186157227,1622.800048828125,212.47000122070312,109.20999908447266,678.0,1371.0,116276.0,30411.919921875,3689.050048828125,10657.41015625,12906647.0,0.0,40748.0,338344.0,0.0,477.0,871740.0,1340522.0,134819.0,130958.0,16915800.0,333190000.0,4496620000.0,4628010000.0
2022-10-21,116.43000030517578,5.216599941253662,93.5,85.05000305175781,5.098400115966797,1651.0,213.0,109.81999969482422,684.25,1395.5,119929.0,31082.560546875,3752.75,10859.7197265625,116.43000030517578,5.216599941253662,93.5,85.05000305175781,5.098400115966797,1651.0,213.0,109.81999969482422,684.25,1395.5,119929.0,31082.560546875,3752.75,10859.7197265625,116.61000061035156,5.27269983291626,93.80000305175781,85.9000015258789,5.12939977645874,1653.9000244140625,213.0,110.91000366210938,688.0,1398.5,120752.0,31119.26953125,3757.889892578125,10875.7197265625,112.62999725341797,5.169707775115967,91.0199966430664,83.1500015258789,5.062600135803223,1634.0999755859375,209.00999450683594,106.62999725341797,677.75,1375.5,116736.0,30206.279296875,3647.419921875,10542.4296875,113.0,5.216599941253662,92.79000091552734,85.06999969482422,5.099999904632568,1634.0999755859375,210.44000244140625,107.38999938964844,683.5,1390.25,117170.0,30291.1796875,3657.10009765625,10576.0400390625,12652526.0,0.0,26861.0,272803.0,0.0,224.0,1361775.0,2773919.0,109021.0,116214.0,18579800.0,418190000.0,5078020000.0,4706440000.0
2022-10-24,112.13999938964844,5.163400173187256,93.26000213623047,84.58000183105469,5.062600135803223,1648.699951171875,221.5500030517578,108.6500015258789,681.5,1372.0,116013.0,31499.619140625,3797.340087890625,10952.6103515625,112.13999938964844,5.163400173187256,93.26000213623047,84.58000183105469,5.062600135803223,1648.699951171875,221.5500030517578,108.6500015258789,681.5,1372.0,116013.0,31499.619140625,3797.340087890625,10952.6103515625,114.56999969482422,5.2993998527526855,94.44000244140625,85.91999816894531,5.2256999015808105,1662.699951171875,221.5500030517578,109.55999755859375,686.5,1393.0,119924.0,31603.630859375,3810.739990234375,10983.51953125,111.80000305175781,5.159900188446045,91.20999908447266,82.62999725341797,5.048299789428711,1648.699951171875,216.27000427246094,108.0999984741211,677.25,1368.25,115793.0,31161.41015625,3741.64990234375,10713.330078125,114.56999969482422,5.163400173187256,93.61000061035156,85.23999786376953,5.062600135803223,1662.699951171875,217.64999389648438,108.19999694824219,682.25,1393.0,119922.0,31187.3203125,3762.010009765625,10867.0703125,9907530.0,0.0,28074.0,250726.0,0.0,29.0,1540710.0,1143806.0,119463.0,118812.0,13278800.0,345040000.0,4747930000.0,4808710000.0
2022-10-25,110.4800033569336,5.30620002746582,93.5199966430664,85.31999969482422,5.243500232696533,1652.800048828125,225.6999969482422,107.69999694824219,686.25,1382.0,114626.0,31836.740234375,3859.110107421875,11199.1201171875,110.4800033569336,5.30620002746582,93.5199966430664,85.31999969482422,5.243500232696533,1652.800048828125,225.6999969482422,107.69999694824219,686.25,1382.0,114626.0,31836.740234375,3859.110107421875,11199.1201171875,112.23999786376953,5.35260009765625,94.37000274658203,86.02999877929688,5.298099994659424,1652.800048828125,225.97999572753906,109.69000244140625,687.5,1386.5,116203.0,31876.150390625,3862.85009765625,11210.3798828125,110.4800033569336,5.280600070953369,91.62999725341797,83.05999755859375,5.207499980926514,1637.300048828125,222.00999450683594,107.41999816894531,677.75,1366.0,114626.0,31423.529296875,3799.43994140625,10996.9697265625,111.69999694824219,5.30620002746582,93.55999755859375,84.87999725341797,5.2418999671936035,1648.199951171875,222.5800018310547,108.12000274658203,681.5,1372.0,116016.0,31463.650390625,3799.43994140625,10996.9697265625,6955937.0,0.0,22553.0,240441.0,0.0,880.0,1621085.0,1141131.0,116661.0,98749.0,14727200.0,336930000.0,4843120000.0,5141760000.0
