fonte,codigo_sgs,ticker,nome_variavel,nome_original,descricao,grupo,tipo,moeda,unidade,frequencia_original,frequencia_final,agregacao_mensal,campo_preco,periodo_coleta,variavel_calculada,fluxo,metrica_origem,formula,nivel_detalhamento,codigo_ncm,produto,grupo_produto
Comex Stat/MDIC,,,comex_ncm_23040090_residuos_oleo_soja_exportacoes_kg,metricKG,"Peso líquido das exportações brasileiras de Bagaços e outros resíduos sólidos da extração do óleo de soja. para o mundo, NCM 23040090.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricKG,,NCM Brasil-mundo,23040090,residuos_oleo_soja,agroindustria
Comex Stat/MDIC,,,comex_ncm_23040090_residuos_oleo_soja_importacoes_fob_usd,metricFOB,"Importações brasileiras de Bagaços e outros resíduos sólidos da extração do óleo de soja. provenientes do mundo, NCM 23040090, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricFOB,,NCM Brasil-mundo,23040090,residuos_oleo_soja,agroindustria
Comex Stat/MDIC,,,comex_ncm_23040090_residuos_oleo_soja_importacoes_kg,metricKG,"Peso líquido das importações brasileiras de Bagaços e outros resíduos sólidos da extração do óleo de soja. provenientes do mundo, NCM 23040090.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricKG,,NCM Brasil-mundo,23040090,residuos_oleo_soja,agroindustria
Comex Stat/MDIC,,,comex_ncm_26011100_minerio_ferro_nao_aglomerado_exportacoes_fob_usd,metricFOB,"Exportações brasileiras de Minérios de ferro e seus concentrados, não aglomerados. para o mundo, NCM 26011100, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricFOB,,NCM Brasil-mundo,26011100,minerio_ferro_nao_aglomerado,mineracao
Comex Stat/MDIC,,,comex_ncm_26011100_minerio_ferro_nao_aglomerado_exportacoes_kg,metricKG,"Peso líquido das exportações brasileiras de Minérios de ferro e seus concentrados, não aglomerados. para o mundo, NCM 26011100.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricKG,,NCM Brasil-mundo,26011100,minerio_ferro_nao_aglomerado,mineracao
Comex Stat/MDIC,,,comex_ncm_26011100_minerio_ferro_nao_aglomerado_importacoes_fob_usd,metricFOB,"Importações brasileiras de Minérios de ferro e seus concentrados, não aglomerados. provenientes do mundo, NCM 26011100, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricFOB,,NCM Brasil-mundo,26011100,minerio_ferro_nao_aglomerado,mineracao
Comex Stat/MDIC,,,comex_ncm_26011100_minerio_ferro_nao_aglomerado_importacoes_kg,metricKG,"Peso líquido das importações brasileiras de Minérios de ferro e seus concentrados, não aglomerados. provenientes do mundo, NCM 26011100.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricKG,,NCM Brasil-mundo,26011100,minerio_ferro_nao_aglomerado,mineracao
Comex Stat/MDIC,,,comex_ncm_27090010_oleos_brutos_petroleo_exportacoes_fob_usd,metricFOB,"Exportações brasileiras de Óleos brutos de petróleo. para o mundo, NCM 27090010, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricFOB,,NCM Brasil-mundo,27090010,oleos_brutos_petroleo,energia
Comex Stat/MDIC,,,comex_ncm_27090010_oleos_brutos_petroleo_exportacoes_kg,metricKG,"Peso líquido das exportações brasileiras de Óleos brutos de petróleo. para o mundo, NCM 27090010.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricKG,,NCM Brasil-mundo,27090010,oleos_brutos_petroleo,energia
Comex Stat/MDIC,,,comex_ncm_27090010_oleos_brutos_petroleo_importacoes_fob_usd,metricFOB,"Importações brasileiras de Óleos brutos de petróleo. provenientes do mundo, NCM 27090010, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricFOB,,NCM Brasil-mundo,27090010,oleos_brutos_petroleo,energia
Comex Stat/MDIC,,,comex_ncm_27090010_oleos_brutos_petroleo_importacoes_kg,metricKG,"Peso líquido das importações brasileiras de Óleos brutos de petróleo. provenientes do mundo, NCM 27090010.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricKG,,NCM Brasil-mundo,27090010,oleos_brutos_petroleo,energia
Comex Stat/MDIC,,,comex_ncm_27101922_fuel_oil_exportacoes_fob_usd,metricFOB,"Exportações brasileiras de Fuel oil. para o mundo, NCM 27101922, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricFOB,,NCM Brasil-mundo,27101922,fuel_oil,energia
Comex Stat/MDIC,,,comex_ncm_27101922_fuel_oil_exportacoes_kg,metricKG,"Peso líquido das exportações brasileiras de Fuel oil. para o mundo, NCM 27101922.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricKG,,NCM Brasil-mundo,27101922,fuel_oil,energia
Comex Stat/MDIC,,,comex_ncm_27101922_fuel_oil_importacoes_fob_usd,metricFOB,"Importações brasileiras de Fuel oil. provenientes do mundo, NCM 27101922, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricFOB,,NCM Brasil-mundo,27101922,fuel_oil,energia
Comex Stat/MDIC,,,comex_ncm_27101922_fuel_oil_importacoes_kg,metricKG,"Peso líquido das importações brasileiras de Fuel oil. provenientes do mundo, NCM 27101922.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricKG,,NCM Brasil-mundo,27101922,fuel_oil,energia
Comex Stat/MDIC,,,comex_ncm_47032900_celulose_nao_coniferas_exportacoes_fob_usd,metricFOB,"Exportações brasileiras de Pastas químicas de madeira, semibranqueadas ou branqueadas, de não coníferas. para o mundo, NCM 47032900, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricFOB,,NCM Brasil-mundo,47032900,celulose_nao_coniferas,celulose
Comex Stat/MDIC,,,comex_ncm_47032900_celulose_nao_coniferas_exportacoes_kg,metricKG,"Peso líquido das exportações brasileiras de Pastas químicas de madeira, semibranqueadas ou branqueadas, de não coníferas. para o mundo, NCM 47032900.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricKG,,NCM Brasil-mundo,47032900,celulose_nao_coniferas,celulose
Comex Stat/MDIC,,,comex_ncm_47032900_celulose_nao_coniferas_importacoes_fob_usd,metricFOB,"Importações brasileiras de Pastas químicas de madeira, semibranqueadas ou branqueadas, de não coníferas. provenientes do mundo, NCM 47032900, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricFOB,,NCM Brasil-mundo,47032900,celulose_nao_coniferas,celulose
Comex Stat/MDIC,,,comex_ncm_47032900_celulose_nao_coniferas_importacoes_kg,metricKG,"Peso líquido das importações brasileiras de Pastas químicas de madeira, semibranqueadas ou branqueadas, de não coníferas. provenientes do mundo, NCM 47032900.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricKG,,NCM Brasil-mundo,47032900,celulose_nao_coniferas,celulose
