data,fonte,nome,grupo,valor,fluxo,metrica_origem,unidade,tipo,descricao,variavel_calculada,formula,frequencia_original,frequencia_final
2004-06-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,14921309047,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2004-07-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,14576293953,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2004-08-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,14747933648,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2004-09-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,14744959047,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2004-10-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,14109784422,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2004-11-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,14306832021,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2004-12-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,14434953132,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2005-01-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,12830348148,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2005-02-28,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,12849713450,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2005-03-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,15256704943,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
